"","Animal","Genotype","Day","Sex","Winding","Time","Distance","TimeNorm","DistNorm","Quadrant"
"201","061019_9","E44","Probe_D8","F",22.72867074,18.8,0.4281,0.312811980033278,0.331757594544327,"SE"
"202","210201_10","E44","Probe_D8","F",19.61485795,19.6,0.3516,0.3261231281198,0.304047042545832,"SE"
"203","210201_11","E44","Probe_D8","M",16.75701634,16.5,0.3368,0.275,0.325127908099237,"SE"
"204","210201_12","E44","Probe_D8","M",22.99171505,9.6,0.1371,0.16,0.186353133070545,"SE"
"205","210201_13","E44","Probe_D8","M",16.74580227,8.9,0.205,0.148333333333333,0.165911298154743,"SE"
"206","210201_14","E44","Probe_D8","M",19.15873985,5.7,0.1277,0.0948419301164725,0.109755049419854,"SE"
"207","210201_15","E44","Probe_D8","M",17.57164938,10.5,0.1559,0.175,0.171111842827352,"SE"
"208","210201_16","E44","Probe_D8","M",18.1711982,25,0.428,0.416666666666667,0.381563697958456,"SE"
"209","210201_17","E44","Probe_D8","M",19.40894248,5.8,0.1204,0.0966666666666667,0.106097990835389,"SE"
"210","210201_18","E44","Probe_D8","M",20.30825099,9,0.1943,0.15,0.167687926124105,"SE"
"211","210201_6","E44","Probe_D8","F",14.70776212,15.7,0.3992,0.261666666666667,0.292325717633275,"SE"
"212","210201_7","E44","Probe_D8","F",18.00366982,12.2,0.2755,0.203672787979967,0.208743749052887,"SE"
"213","210201_8","E44","Probe_D8","F",14.69296933,18.7,0.5331,0.312186978297162,0.348476925088247,"SE"
"214","210201_9","E44","Probe_D8","F",16.08951342,20.2,0.518,0.336666666666667,0.364070846218724,"SE"
"269","190715_10","E22","Probe_D8","M",21.36000062,7.3,0.1366,0.121666666666667,0.125252154777187,"NW"
"270","190715_5","E22","Probe_D8","M",17.46487726,6.4,0.1584,0.106666666666667,0.123701679031628,"NW"
"271","190715_6","E22","Probe_D8","M",17.72005208,8.8,0.1602,0.146666666666667,0.123888330368881,"NW"
"272","190715_7","E22","Probe_D8","F",18.42535606,9.1,0.1917,0.151666666666667,0.170097604259095,"NW"
"273","190715_8","E22","Probe_D8","F",16.2268552,6.5,0.1335,0.108333333333333,0.102566072526122,"NW"
